decade,track,artist(s),race/ethnicity,gender,collab?
1970s,School's Out,Alice Cooper,white,male,FALSE
1970s,Do You Feel Like We Do,Peter Frampton,white,male,FALSE
1970s,Fallin' In Love,"Hamilton, Joe Frank & Reynolds",white,male,TRUE
1970s,"Sweet, Sweet Smile",Carpenters,white,mixed,FALSE
1970s,Rhapsody In Blue,Deodato,hispanic or latino,male,FALSE
1970s,She Came In Through The Bathroom Window,Joe Cocker,white,male,FALSE
1970s,Mr. Melody,Natalie Cole,black,female,FALSE
1970s,Can't Hide Love,"Earth, Wind & Fire",black,male,FALSE
1970s,I'm Gonna Let My Heart Do The Walking,The Supremes,black,female,FALSE
1970s,"Hey, Little Girl",Foster Sylvers,black,male,FALSE
1970s,I'm Comin' Home,Dave Edmunds,white,male,FALSE
1970s,Fancy Dancer,Frankie Valli,white,male,FALSE
1970s,Our Love,Natalie Cole,black,female,FALSE
