week,acousticness,danceability,energy,instrumentalness,speechiness,liveness,valence,tempo,duration,explicit_count,major_key_count,common_time_count
1984-12-01,0.182617613,0.61506,0.66447,0.0524287976,0.043533,0.220338,0.6380899999999999,123.75133,268589.22,1.0,77,98
1984-12-08,0.185255413,0.6179399999999999,0.6655200000000001,0.052137359200000004,0.043122,0.217592,0.6411100000000001,122.92715,269334.54,2.0,78,98
1984-12-15,0.1917627202020202,0.6231414141414142,0.6620373737373738,0.07074353838383839,0.04197171717171717,0.2168030303030303,0.6335939393939394,122.40544444444444,264264.09,1.0,77,97
1984-12-22,0.205644233,0.62712,0.650077,0.0685746596,0.040561999999999994,0.21400300000000003,0.616398,120.80756,267628.77,1.0,78,98
1984-12-29,0.205644233,0.62712,0.650077,0.0685746596,0.040561999999999994,0.21400300000000003,0.616398,120.80756,267628.77,1.0,78,98
1985-01-05,0.199276183,0.6260600000000001,0.649187,0.06852774069999999,0.041786000000000004,0.215113,0.617468,120.20455,271972.94,1.0,78,98
1985-01-12,0.197106983,0.62439,0.651417,0.06816694070000001,0.042003000000000006,0.216845,0.614868,119.89085999999999,275142.25,1.0,78,98
1985-01-19,0.21077341,0.6314,0.653707,0.060696316599999994,0.042041,0.210754,0.613298,118.97361000000001,275508.12,1.0,80,98
1985-01-26,0.19631441,0.63754,0.666677,0.0496685941,0.043005,0.20647300000000002,0.626468,118.94881,269818.98,1.0,76,99
1985-02-02,0.20038339,0.63864,0.6687869999999999,0.0489840747,0.042702,0.19189900000000001,0.639538,119.76493,268671.29,1.0,71,99
1985-02-09,0.20127637799999998,0.63305,0.6725369999999999,0.0450331112,0.044684,0.193667,0.632788,121.05872,267098.02,3.0,69,99
1985-02-16,0.203608478,0.6431399999999999,0.675337,0.0458431237,0.044395,0.19417500000000001,0.647438,120.39267,264054.69,3.0,62,99
1985-02-23,0.188626328,0.65534,0.676247,0.046242400999999995,0.046049,0.19433,0.66057,120.68739,264071.22,4.0,64,99
1985-03-02,0.178638128,0.65873,0.675557,0.0450444952,0.047008999999999995,0.188543,0.66617,121.07668,264748.21,3.0,63,99
1985-03-09,0.172320848,0.6602800000000001,0.6766970000000001,0.0493153106,0.048186,0.190522,0.67956,120.67873,263105.76,3.0,63,99
1985-03-16,0.15804484800000002,0.66074,0.6903,0.0418719208,0.048368,0.1856,0.69221,121.08767,267557.56,2.0,63,99
1985-03-23,0.173459528,0.67164,0.6793399999999999,0.040488532900000006,0.046573,0.17822600000000002,0.69439,120.51619000000001,263580.69,2.0,63,99
1985-03-30,0.17503652800000002,0.66699,0.66996,0.048857262500000005,0.047123,0.177531,0.68613,119.95617,262562.32,1.0,64,99
1985-04-06,0.17788652800000002,0.65668,0.6733100000000001,0.0492137703,0.048427,0.186719,0.68078,120.76445,264088.09,1.0,61,100
1985-04-13,0.17504032800000002,0.65726,0.6715300000000001,0.0491824766,0.04614,0.18978,0.68072,120.02816999999999,263904.23,1.0,60,100
1985-04-20,0.17683532799999999,0.65067,0.67597,0.0526096678,0.046222000000000006,0.187409,0.6762999999999999,121.47832,261374.21,1.0,61,100
1985-04-27,0.189607028,0.64006,0.6799200000000001,0.052092960699999996,0.047448,0.188657,0.65457,121.27807999999999,261218.73,1.0,64,100
1985-05-04,0.2071657,0.63646,0.6683499999999999,0.0634993452,0.046753,0.165343,0.639332,122.10766,258808.07,1.0,62,100
1985-05-11,0.19647369999999997,0.6468,0.67291,0.0707363508,0.045756,0.166782,0.658342,122.57633,261342.71,1.0,63,100
1985-05-18,0.1949959,0.64578,0.6694200000000001,0.062130532800000006,0.044085,0.16684100000000002,0.660742,122.63976000000001,256084.63,1.0,63,100
1985-05-25,0.2110263,0.64688,0.6677,0.061984961400000003,0.042778000000000004,0.160396,0.6635420000000001,120.40505999999999,253745.12,,63,100
1985-06-01,0.20171693999999998,0.64795,0.67303,0.0490426291,0.042172999999999995,0.16087700000000002,0.680502,121.47102000000001,251693.89,,63,100
